index,prediction,predicted_side,actual,correct,confidence,reliability,publish,entry,future
90,LONG,LONG,LONG,True,46.75,73.53,True,64305.3,64785.1
91,LONG,LONG,LONG,True,52.69,73.53,True,64409.1,64844.5
92,LONG,LONG,LONG,True,46.69,72.34,True,64360.0,64729.6
93,LONG,LONG,LONG,True,43.71,72.34,True,64320.4,64666.0
94,LONG,LONG,LONG,True,41.79,72.34,True,64294.8,64682.0
95,LONG,LONG,LONG,True,43.85,72.34,True,64322.6,64674.0
96,LONG,LONG,SHORT,False,53.81,72.34,True,64788.0,64686.4
97,LONG,LONG,SHORT,False,52.44,72.34,True,64850.9,64654.4
98,LONG,LONG,SHORT,False,53.76,73.53,True,64807.1,64576.4
99,LONG,LONG,SHORT,False,58.97,73.53,True,64925.7,64699.5
100,LONG,LONG,SHORT,False,59.31,73.53,True,64935.0,64634.5
101,LONG,LONG,SHORT,False,58.15,73.53,True,64970.8,64627.2
102,LONG,LONG,SHORT,False,52.95,73.53,True,64785.1,64613.1
103,LONG,LONG,SHORT,False,57.2,73.53,True,64844.5,64705.0
104,LONG,LONG,SHORT,False,56.45,74.64,True,64729.6,64662.2
105,LONG,LONG,LONG,True,51.37,74.64,True,64666.0,64683.2
106,LONG,LONG,SHORT,False,44.7,71.07,True,64682.0,64606.4
107,LONG,LONG,SHORT,False,43.35,71.07,True,64674.0,64528.1
108,LONG,LONG,SHORT,False,41.58,71.07,True,64686.4,64655.4
109,LONG,LONG,SHORT,False,40.47,71.07,True,64654.4,64641.6
110,SHORT,SHORT,LONG,False,35.16,71.07,True,64576.4,64626.1
111,LONG,LONG,LONG,True,40.31,71.07,True,64699.5,64699.6
112,LONG,LONG,SHORT,False,38.49,71.07,True,64634.5,64318.2
113,SHORT,SHORT,SHORT,True,54.66,74.64,True,64627.2,64315.0
114,LONG,LONG,SHORT,False,39.95,71.07,True,64613.1,64404.2
115,LONG,LONG,SHORT,False,65.67,74.64,True,64705.0,64440.8
116,LONG,LONG,SHORT,False,60.59,74.64,True,64662.2,64294.2
117,LONG,LONG,SHORT,False,61.84,74.64,True,64683.2,64223.7
118,LONG,LONG,SHORT,False,51.1,71.07,True,64606.4,64308.8
119,SHORT,SHORT,SHORT,True,38.71,71.07,True,64528.1,64441.2
120,LONG,LONG,SHORT,False,36.46,71.07,True,64655.4,64418.5
121,LONG,LONG,SHORT,False,36.71,69.28,True,64641.6,64385.6
122,LONG,LONG,SHORT,False,37.84,69.28,True,64626.1,64400.0
123,LONG,LONG,SHORT,False,69.72,74.64,True,64699.6,64315.4
124,SHORT,SHORT,SHORT,True,38.73,71.07,True,64318.2,64317.2
125,SHORT,SHORT,LONG,False,36.73,71.07,True,64315.0,64393.0
126,LONG,LONG,LONG,True,37.91,71.07,True,64404.2,64579.9
127,LONG,LONG,LONG,True,38.8,69.28,True,64440.8,64780.1
128,LONG,LONG,LONG,True,33.05,69.28,True,64294.2,64949.9
129,SHORT,SHORT,LONG,False,36.29,71.07,True,64223.7,64974.5
130,SHORT,SHORT,LONG,False,48.89,73.53,True,64308.8,64926.3
131,SHORT,SHORT,LONG,False,36.0,68.17,True,64441.2,64923.3
132,SHORT,SHORT,LONG,False,37.98,69.96,True,64418.5,64827.7
133,SHORT,SHORT,LONG,False,42.74,72.34,True,64385.6,64844.2
134,SHORT,SHORT,LONG,False,38.01,69.96,True,64400.0,65209.1
135,SHORT,SHORT,LONG,False,41.66,69.96,True,64315.4,65288.7
136,SHORT,SHORT,LONG,False,47.78,73.53,True,64317.2,65495.0
137,SHORT,SHORT,LONG,False,38.71,69.96,True,64393.0,65570.1
138,SHORT,SHORT,LONG,False,49.61,69.96,True,64579.9,65520.0
139,LONG,LONG,LONG,True,43.87,69.96,True,64780.1,65477.3
140,LONG,LONG,LONG,True,62.21,74.64,True,64949.9,65534.0
141,LONG,LONG,LONG,True,62.81,74.64,True,64974.5,65423.6
142,LONG,LONG,LONG,True,62.67,74.64,True,64926.3,65458.4
143,LONG,LONG,LONG,True,62.97,74.64,True,64923.3,65418.2
144,LONG,LONG,LONG,True,60.48,74.64,True,64827.7,65413.5
145,LONG,LONG,LONG,True,60.37,74.64,True,64844.2,65445.1
146,LONG,LONG,LONG,True,63.91,74.64,True,65209.1,65348.9
147,LONG,LONG,LONG,True,65.4,74.64,True,65288.7,65434.9
148,LONG,LONG,SHORT,False,66.24,74.64,True,65495.0,65388.0
149,LONG,LONG,SHORT,False,66.4,74.64,True,65570.1,65478.6
150,LONG,LONG,SHORT,False,63.07,74.64,True,65520.0,65418.5
151,LONG,LONG,LONG,True,59.0,73.45,True,65477.3,65502.9
152,LONG,LONG,SHORT,False,63.69,74.64,True,65534.0,65470.8
153,LONG,LONG,LONG,True,60.56,74.64,True,65423.6,65459.7
154,LONG,LONG,SHORT,False,61.77,74.64,True,65458.4,65444.1
155,LONG,LONG,LONG,True,58.46,73.45,True,65418.2,65476.4
156,LONG,LONG,SHORT,False,53.87,71.07,True,65413.5,65395.3
157,LONG,LONG,SHORT,False,51.79,71.07,True,65445.1,65375.8
158,LONG,LONG,SHORT,False,48.54,71.07,True,65348.9,65332.4
159,LONG,LONG,LONG,True,47.86,71.07,True,65434.9,65452.8
160,LONG,LONG,LONG,True,47.32,71.07,True,65388.0,65552.9
161,LONG,LONG,LONG,True,49.04,71.07,True,65478.6,65560.0
162,LONG,LONG,LONG,True,52.7,73.45,True,65418.5,65598.7
163,LONG,LONG,LONG,True,58.1,74.64,True,65502.9,65563.7
164,LONG,LONG,LONG,True,58.47,74.64,True,65470.8,65725.2
165,LONG,LONG,LONG,True,54.25,74.64,True,65459.7,65643.1
166,LONG,LONG,LONG,True,45.62,71.07,True,65444.1,65566.4
167,LONG,LONG,LONG,True,68.93,74.64,True,65476.4,65561.0
168,LONG,LONG,LONG,True,62.77,74.64,True,65395.3,65471.0
169,LONG,LONG,LONG,True,59.23,73.45,True,65375.8,65456.5
170,LONG,LONG,SHORT,False,52.86,71.07,True,65332.4,65325.4
171,LONG,LONG,SHORT,False,65.99,74.64,True,65452.8,65261.2
172,LONG,LONG,SHORT,False,51.19,73.45,True,65552.9,65195.4
173,LONG,LONG,SHORT,False,47.18,71.07,True,65560.0,65215.8
174,LONG,LONG,SHORT,False,55.04,74.64,True,65598.7,65160.3
175,LONG,LONG,SHORT,False,46.02,71.07,True,65563.7,65194.6
176,LONG,LONG,SHORT,False,50.72,71.07,True,65725.2,65076.6
177,LONG,LONG,SHORT,False,51.47,73.45,True,65643.1,65133.6
178,LONG,LONG,SHORT,False,47.21,73.45,True,65566.4,65109.9
179,LONG,LONG,SHORT,False,50.05,74.64,True,65561.0,65131.2
180,LONG,LONG,SHORT,False,57.65,71.07,True,65471.0,65051.6
181,LONG,LONG,SHORT,False,35.13,71.07,True,65456.5,65087.5
182,SHORT,SHORT,SHORT,True,41.58,71.07,True,65325.4,65086.5
183,SHORT,SHORT,SHORT,True,42.98,71.07,True,65261.2,65117.2
184,SHORT,SHORT,SHORT,True,44.66,71.07,True,65195.4,65157.1
185,SHORT,SHORT,SHORT,True,45.71,71.07,True,65215.8,65119.3
186,SHORT,SHORT,SHORT,True,44.73,71.07,True,65160.3,65048.5
187,SHORT,SHORT,SHORT,True,42.97,71.07,True,65194.6,65116.4
188,SHORT,SHORT,LONG,False,43.87,71.07,True,65076.6,65199.9
189,SHORT,SHORT,LONG,False,41.31,71.07,True,65133.6,65245.1
190,SHORT,SHORT,LONG,False,42.44,71.07,True,65109.9,65266.5
191,SHORT,SHORT,LONG,False,40.78,71.07,True,65131.2,65262.0
192,SHORT,SHORT,LONG,False,43.01,71.07,True,65051.6,65382.8
193,SHORT,SHORT,LONG,False,41.68,71.07,True,65087.5,65317.9
194,SHORT,SHORT,LONG,False,39.74,71.07,True,65086.5,65284.0
